classcode,species_definition,campus,method,survey_year,year,month,day,site,zone,transect,count,size,disease,depth,observer,notes,site_name_old
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_W,OUTER,2,4,,,26.2,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_W,OUTER,1,14,,,24.7,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_W,OUTER,2,5,,,26.2,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,19,ARROYO_QUEMADO_E,MID,1,1,,,9.1,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,19,ARROYO_QUEMADO_E,OUTER,1,11,,,14,AVREY PARSONS-FIELD,SOME LEPCHI SMALL ~10CM TALL.,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,19,ARROYO_QUEMADO_E,OUTER,2,1,,,13.4,LAUREN PARKER,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,19,ARROYO_QUEMADO_E,MID,1,1,,,9.1,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,19,ARROYO_QUEMADO_E,OUTER,1,8,,,14.2,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,8,2,HORSESHOE_REEF_E,OUTER,1,1,,,10.1,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,8,2,HORSESHOE_REEF_E,OUTER,2,5,,,10.7,AVREY PARSONS-FIELD,ALL SMALL,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,8,2,HORSESHOE_REEF_E,OUTER,1,32,,,9.9,LAUREN PARKER,. RECRUITS ~4CM,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,8,2,HORSESHOE_REEF_E,OUTER,2,45,,,10.7,AVREY PARSONS-FIELD,. >HALF ARE 3-6CM,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,12,HORSESHOE_REEF_W,INNER,1,14,,,8.7,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,12,HORSESHOE_REEF_W,INNER,2,1,,,8.5,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,12,HORSESHOE_REEF_W,MID,1,6,,,9.5,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,12,HORSESHOE_REEF_W,MID,2,3,,,10.2,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,12,HORSESHOE_REEF_W,INNER,1,5,,,8.7,LAUREN PARKER,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,12,HORSESHOE_REEF_W,INNER,2,8,,,8.3,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,12,HORSESHOE_REEF_W,MID,1,14,,,9.4,LAUREN PARKER,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,12,HORSESHOE_REEF_W,MID,2,24,,,10.2,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,12,HORSESHOE_REEF_W,OUTER,1,4,,,13.4,LAUREN PARKER,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,12,HORSESHOE_REEF_W,OUTER,2,8,,,12.9,AVREY PARSONS-FIELD,,
MURFRU,Muricea fruticosa,UCSB,SBTL_SWATH_PISCO,2016,2016,7,12,HORSESHOE_REEF_W,OUTER,2,1,,,13.1,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,8,1,IV_REEF_E,OUTER,1,2,,,12.2,AVREY PARSONS-FIELD,SMALL,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,8,1,IV_REEF_E,OUTER,1,2,,,12.2,AVREY PARSONS-FIELD,SMALL,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,8,1,IV_REEF_E,OUTER,2,1,,,11.3,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,8,1,IV_REEF_W,OUTER,2,1,,,13.1,AVREY PARSONS-FIELD,SMALL ~6CM TALL,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,19,NAPLES_CEN,OUTER,1,5,,,14.6,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,19,NAPLES_CEN,INNER,1,1,,,9.1,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,19,NAPLES_CEN,OUTER,1,1,,,15.2,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,11,NAPLES_E,INNER,1,1,,,13.7,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,11,NAPLES_E,OUTER,1,4,,,14.1,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,11,NAPLES_E,OUTER,2,5,,,13.4,KATIE DAVIS,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,11,NAPLES_E,INNER,1,1,,,13.7,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,11,NAPLES_E,INNER,2,1,,,13.7,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,11,NAPLES_W,INNER,1,6,,,11.3,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,11,NAPLES_W,INNER,2,3,,,10.7,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,11,NAPLES_W,OUTER,2,3,,,13.7,KATIE DAVIS,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,11,NAPLES_W,INNER,1,3,,,11.9,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,11,NAPLES_W,INNER,2,2,,,9.8,KATIE DAVIS,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,11,NAPLES_W,OUTER,1,1,,,13.7,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,11,NAPLES_W,OUTER,2,4,,,13.7,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,22,SCI_CAVERN_POINT_E,OUTER,1,45,,,14.3,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,22,SCI_CAVERN_POINT_E,OUTER,2,40,,,16.3,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,6,22,SCI_CAVERN_POINT_E,MID,2,1,,,11,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,6,22,SCI_CAVERN_POINT_E,OUTER,1,1,,,14.6,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,22,SCI_CAVERN_POINT_W,OUTER,1,4,,,11.2,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,22,SCI_CAVERN_POINT_W,OUTER,2,3,,,11.3,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_COCHE_POINT_E,MID,1,2,,,11.3,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,22,SCI_COCHE_POINT_E,OUTER,1,182,,,16.6,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,22,SCI_COCHE_POINT_E,OUTER,2,53,,,15.5,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,6,22,SCI_COCHE_POINT_E,MID,2,1,,,10.4,LAUREN PARKER,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,6,22,SCI_COCHE_POINT_E,OUTER,1,17,,,16.8,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,6,22,SCI_COCHE_POINT_E,OUTER,2,1,,,15.2,KEEGAN BELL,,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_COCHE_POINT_W,OUTER,1,1,,,17.4,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_COCHE_POINT_W,MID,1,2,,,10.7,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_COCHE_POINT_W,MID,2,2,,,11.8,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_COCHE_POINT_W,OUTER,1,101,,,17.4,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_COCHE_POINT_W,OUTER,2,77,,,16.3,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_COCHE_POINT_W,OUTER,1,2,,,17.4,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_COCHE_POINT_W,OUTER,2,1,,,16.5,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,20,SCI_HAZARDS_CEN,INNER,1,1,,,5.5,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,20,SCI_HAZARDS_CEN,OUTER,1,5,,,14.6,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,20,SCI_HAZARDS_CEN,OUTER,2,5,,,14.8,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,20,SCI_HAZARDS_E,OUTER,1,1,,,10.4,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,20,SCI_HAZARDS_E,OUTER,2,7,,,12.1,AVREY PARSONS-FIELD,. LARGVALAYING EGGS,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,20,SCI_HAZARDS_W,OUTER,1,12,,,13.5,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,20,SCI_HAZARDS_W,OUTER,2,1,,,9.8,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_PELICAN_CEN,OUTER,1,22,,,10.3,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_PELICAN_CEN,OUTER,2,13,,,10.7,KEEGAN BELL,,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_PELICAN_E,OUTER,1,1,,,10.4,LAUREN PARKER,,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_PELICAN_E,OUTER,2,2,,,9.1,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_PELICAN_E,OUTER,1,26,,,10.7,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,21,SCI_PELICAN_E,OUTER,2,13,,,9.2,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,20,SCI_PELICAN_W,OUTER,1,1,,,10.4,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,20,SCI_PELICAN_W,OUTER,2,14,,,12.2,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,25,SCI_SCORPION_E,INNER,2,1,,,4.6,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,25,SCI_SCORPION_E,MID,1,1,,,11.3,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,25,SCI_SCORPION_E,MID,2,2,,,12.8,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,25,SCI_SCORPION_E,OUTER,1,29,,,16.6,KEEGAN BELL,BRITTLE BARREN.,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,25,SCI_SCORPION_E,OUTER,2,7,,,16.1,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,25,SCI_SCORPION_W,INNER,2,1,,,6.4,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,25,SCI_SCORPION_W,MID,1,3,,,7.8,KEEGAN BELL,,
