site,zone,depth
LOVERS_DC,OUTER,13.3
LOVERS_UC,INNER,5.5
LOVERS_UC,MID,10
LOVERS_UC,OUTER,13
MACABEE_DC,MID,10.1
MACABEE_DC,OUTER,14.9
MACABEE_DC,INNER,5.5
MACABEE_UC,INNER,5.8
MACABEE_UC,MID,10.3
MACABEE_UC,OUTER,15
MONASTERY_DC,MID,11.8
MONASTERY_DC,OUTER,19
MONASTERY_DC,INNER,5.3
MONASTERY_UC,INNER,5.2
MONASTERY_UC,MID,12.5
MONASTERY_UC,OUTER,17.2
MONTANA_DE_ORO,MID,13.4
MONTANA_DE_ORO,OUTER,19.1
MONTANA_DE_ORO,INNER,6.2
OTTER_PT_DC,OUTER,15
OTTER_PT_DC,MID,9.4
OTTER_PT_DC,INNER,5.3
OTTER_PT_UC,OUTER,15.3
OTTER_PT_UC,INNER,5.5
OTTER_PT_UC,MID,9.4
PALO_COLORADO,MID,13
PALO_COLORADO,OUTER,18.6
PALO_COLORADO,INNER,5.9
PESCADERO_DC,MID,11.8
PESCADERO_DC,OUTER,19.4
PESCADERO_DC,INNER,5.5
PINOS,OUTER,18.1
PINOS,INNER,5.6
PINOS,MID,12.4
POINT_ARENA_REFERENCE_4,INNER,5.2
POINT_ARENA_REFERENCE_4,MID,11.8
POINT_ARENA_REFERENCE_4,OUTER,18
SAUNDERS_MPA_1,MID,11.9
SAUNDERS_MPA_1,INNER,5.8
SAUNDERS_MPA_1,OUTER,18.3
SAUNDERS_MPA_2,INNER,5.5
SAUNDERS_MPA_2,MID,12.3
SAUNDERS_MPA_2,OUTER,18.6
SAUNDERS_MPA_4,OUTER,19.5
SAUNDERS_MPA_4,INNER,6.3
SAUNDERS_MPA_4,MID,12.9
SAUNDERS_REFERENCE_1,OUTER,19.2
SAUNDERS_REFERENCE_1,MID,12.3
SAUNDERS_REFERENCE_2,INNER,4.7
SAUNDERS_REFERENCE_2,MID,11.6
SAUNDERS_REFERENCE_2,OUTER,18
SIREN,MID,9.5
SIREN,INNER,5.3
SIREN,OUTER,12.9
SOBERANES,INNER,5.2
SOBERANES,MID,12.3
SOBERANES,OUTER,18.8
STILLWATER_DC,MID,13
STILLWATER_DC,OUTER,17
STILLWATER_DC,INNER,5.3
STILLWATER_UC,MID,11.6
STILLWATER_UC,OUTER,19
STILLWATER_UC,INNER,5.7
TENERA,INNER,6.5
TENERA,MID,12.9
TENERA,OUTER,20.5
WESTON_DC,MID,13
WESTON_DC,OUTER,19.3
WESTON_UC,INNER,5.1
WESTON_UC,MID,12.5
WESTON_UC,OUTER,19.7
SCI_FORNEY_E,OUTER,14.1
SCI_FORNEY_E,MID,8.5
SCI_FORNEY_E,INNER,6
SCI_FORNEY_W,OUTER,12.6
SCI_FORNEY_W,INNER,5.2
SCI_FORNEY_W,MID,9.9
SCI_GULL_ISLE_E,INNER,5.8
SCI_GULL_ISLE_E,MID,9.9
SCI_GULL_ISLE_E,OUTER,19.2
SCI_GULL_ISLE_W,INNER,7.4
SCI_GULL_ISLE_W,MID,10.2
SCI_GULL_ISLE_W,OUTER,18.4
SCI_PAINTED_CAVE_CEN,INNER,6
SCI_PAINTED_CAVE_CEN,OUTER,12.2
SCI_PAINTED_CAVE_E,INNER,6.1
SCI_PAINTED_CAVE_E,OUTER,13.8
SCI_PAINTED_CAVE_W,OUTER,13.5
SCI_PAINTED_CAVE_W,INNER,6.3
BUTTERFLY_DC,MID,12.3
BUTTERFLY_DC,OUTER,19.4
BUTTERFLY_DC,INNER,5.8
BUTTERFLY_UC,OUTER,19.9
BUTTERFLY_UC,INNER,5.2
BUTTERFLY_UC,MID,12.3
CANNERY_DC,MID,8.5
CANNERY_DC,OUTER,11
CANNERY_DC,INNER,5.4
CANNERY_UC,MID,8.1
CANNERY_UC,OUTER,10.5
CANNERY_UC,INNER,5.1
COOPER,MID,13.2
COOPER,OUTER,19.7
CYPRESS_PT_DC,MID,13.5
DEL_MAR_REFERENCE_2,MID,13.8
DEL_MAR_REFERENCE_2,INNER,5.9
DEL_MAR_REFERENCE_2,OUTER,17.8
DEL_MAR_REFERENCE_3,MID,12.5
DEL_MAR_REFERENCE_3,INNER,5.7
DEL_MAR_REFERENCE_3,OUTER,19
LITTLE_IRISH_DC,INNER,5.7
LITTLE_IRISH_DC,OUTER,18.1
LITTLE_IRISH_DC,MID,13.3
MALPASO,MID,12.9
MALPASO,INNER,5.1
MALPASO,OUTER,19.1
PESCADERO_UC,MID,12.3
PESCADERO_UC,OUTER,18.9
PESCADERO_UC,INNER,5.4
POINT_ARENA_REFERENCE_3,OUTER,19
POINT_ARENA_REFERENCE_3,MID,11.8
SALT_POINT_REFERENCE_1,MID,13.7
SALT_POINT_REFERENCE_1,OUTER,18.8
SALT_POINT_REFERENCE_1,INNER,6
SALT_POINT_REFERENCE_5,OUTER,18.6
SALT_POINT_REFERENCE_5,INNER,6.2
SALT_POINT_REFERENCE_5,MID,12.8
SAUNDERS_MPA_3,INNER,4.7
SAUNDERS_MPA_3,MID,12.1
SAUNDERS_MPA_3,OUTER,18.5
SAUNDERS_REFERENCE_1,INNER,4.7
STEWARTS_POINT_MPA_1,MID,12.3
STEWARTS_POINT_MPA_1,OUTER,20.4
STEWARTS_POINT_MPA_1,INNER,5.9
STEWARTS_POINT_MPA_2,MID,12.4
STEWARTS_POINT_MPA_2,OUTER,18.1
STEWARTS_POINT_MPA_2,INNER,5.9
STEWARTS_POINT_MPA_3,INNER,7.4
STEWARTS_POINT_MPA_3,OUTER,19
STEWARTS_POINT_MPA_3,MID,12.5
STEWARTS_POINT_MPA_4,OUTER,17.6
STEWARTS_POINT_MPA_4,INNER,6.1
STEWARTS_POINT_MPA_4,MID,13.1
WESTON_DC,INNER,5.2
SCI_VALLEY_CEN,INNER,6.9
SCI_VALLEY_CEN,OUTER,10.4
SCI_VALLEY_E,OUTER,11.7
SCI_VALLEY_E,INNER,6.9
SCI_VALLEY_W,INNER,5.6
SCI_VALLEY_W,OUTER,9.5
SCI_YELLOWBANKS_CEN,MID,11.1
SCI_YELLOWBANKS_CEN,OUTER,17.8
SCI_YELLOWBANKS_CEN,INNER,9
SCI_YELLOWBANKS_W,INNER,10.5
SCI_YELLOWBANKS_W,MID,12.7
SCI_YELLOWBANKS_W,OUTER,17.5
